 ,Area,Mean,Min,Max
1,125,255,255,255
2,1700,255,255,255
3,250,255,255,255
4,1925,255,255,255
5,522575,255,255,255
6,3650,255,255,255
7,200,255,255,255
8,125,255,255,255
9,2025,255,255,255
10,1000,255,255,255
11,825,255,255,255
12,25,255,255,255
13,100,255,255,255
14,425,255,255,255
15,125,255,255,255
16,2250,255,255,255
17,50,255,255,255
18,250,255,255,255
19,600,255,255,255
20,19500,255,255,255
21,4700,255,255,255
22,458100,255,255,255
23,5375,255,255,255
24,2025,255,255,255
25,25,255,255,255
26,175,255,255,255
27,1050,255,255,255
28,23900,255,255,255
29,125,255,255,255
30,1100,255,255,255
31,2225,255,255,255
32,1075,255,255,255
33,25,255,255,255
34,575,255,255,255
35,225,255,255,255
36,3250,255,255,255
37,248200,255,255,255
38,98075,255,255,255
39,25,255,255,255
40,25,255,255,255
41,2450,255,255,255
42,2975,255,255,255
43,2450,255,255,255
44,75,255,255,255
45,50,255,255,255
46,75,255,255,255
47,2425,255,255,255
48,575,255,255,255
49,3800,255,255,255
50,225,255,255,255
51,1100,255,255,255
52,925,255,255,255
53,25,255,255,255
54,25,255,255,255
55,6250,255,255,255
56,3500,255,255,255
57,25,255,255,255
58,13000,255,255,255
59,2825,255,255,255
60,350,255,255,255
61,1775,255,255,255
62,350,255,255,255
63,85825,255,255,255
64,750,255,255,255
65,25,255,255,255
66,25,255,255,255
67,14500,255,255,255
68,575,255,255,255
69,10525,255,255,255
70,4250,255,255,255
71,2375,255,255,255
72,2200,255,255,255
73,375,255,255,255
74,3700,255,255,255
75,1975,255,255,255
76,2050,255,255,255
77,75,255,255,255
78,2325,255,255,255
79,350,255,255,255
80,50,255,255,255
81,175,255,255,255
82,1425,255,255,255
83,7825,255,255,255
84,550,255,255,255
85,4100,255,255,255
86,75,255,255,255
87,2850,255,255,255
88,36300,255,255,255
89,50,255,255,255
90,600,255,255,255
91,200,255,255,255
