 ,Area,Mean,Min,Max
1,873950,255,255,255
2,25,255,255,255
3,4700,255,255,255
4,1125,255,255,255
5,1400,255,255,255
6,3675,255,255,255
7,3625,255,255,255
8,700,255,255,255
9,100,255,255,255
10,2150,255,255,255
11,25,255,255,255
12,425,255,255,255
13,1975,255,255,255
14,1475,255,255,255
15,2225,255,255,255
16,3100,255,255,255
17,4500,255,255,255
18,1550,255,255,255
19,675,255,255,255
20,1044325,255,255,255
21,12150,255,255,255
22,4325,255,255,255
23,250,255,255,255
24,25,255,255,255
25,1575,255,255,255
26,3850,255,255,255
27,2125,255,255,255
28,225,255,255,255
29,2150,255,255,255
30,3800,255,255,255
31,775,255,255,255
32,6100,255,255,255
33,2400,255,255,255
34,1850,255,255,255
35,3825,255,255,255
36,3100,255,255,255
37,775,255,255,255
38,525,255,255,255
39,2000,255,255,255
40,1075,255,255,255
41,4625,255,255,255
42,1200,255,255,255
43,2500,255,255,255
44,250,255,255,255
45,975,255,255,255
46,7050,255,255,255
47,3250,255,255,255
48,1125,255,255,255
49,2600,255,255,255
50,75,255,255,255
51,100,255,255,255
52,2350,255,255,255
53,200,255,255,255
54,2550,255,255,255
55,1325,255,255,255
56,3125,255,255,255
57,125,255,255,255
58,5325,255,255,255
59,200,255,255,255
60,2025,255,255,255
61,2850,255,255,255
62,6050,255,255,255
63,250,255,255,255
64,975,255,255,255
65,5250,255,255,255
66,25,255,255,255
67,25,255,255,255
68,3575,255,255,255
69,1875,255,255,255
70,175,255,255,255
71,2425,255,255,255
72,100,255,255,255
73,250,255,255,255
74,25,255,255,255
75,9550,255,255,255
76,12125,255,255,255
77,2175,255,255,255
78,25,255,255,255
79,725,255,255,255
80,1250,255,255,255
81,475,255,255,255
82,1125,255,255,255
83,400,255,255,255
84,20125,255,255,255
85,300,255,255,255
86,950,255,255,255
87,3475,255,255,255
88,125,255,255,255
89,75,255,255,255
