 ,Area,Mean,Min,Max
1,7777.778,255,255,255
2,2266.667,255,255,255
3,2533.333,255,255,255
4,1511.111,255,255,255
5,4355.556,255,255,255
6,400.000,255,255,255
7,205066.667,255,255,255
8,5955.556,255,255,255
9,44.444,255,255,255
10,8844.444,255,255,255
11,88.889,255,255,255
12,479066.667,255,255,255
13,3066.667,255,255,255
14,3644.444,255,255,255
15,4133.333,255,255,255
16,888.889,255,255,255
17,933.333,255,255,255
18,2000.000,255,255,255
19,1822.222,255,255,255
20,7822.222,255,255,255
21,488.889,255,255,255
22,1466.667,255,255,255
23,177.778,255,255,255
24,844.444,255,255,255
25,4000.000,255,255,255
26,2355.556,255,255,255
27,44800.000,255,255,255
28,12488.889,255,255,255
29,4222.222,255,255,255
30,1200.000,255,255,255
31,177.778,255,255,255
32,711.111,255,255,255
33,1155.556,255,255,255
34,177.778,255,255,255
35,3155.556,255,255,255
36,5777.778,255,255,255
37,355.556,255,255,255
38,577.778,255,255,255
39,177.778,255,255,255
40,4755.556,255,255,255
41,10800.000,255,255,255
42,12533.333,255,255,255
43,4622.222,255,255,255
44,5822.222,255,255,255
45,177.778,255,255,255
46,5511.111,255,255,255
47,933.333,255,255,255
48,711.111,255,255,255
49,14533.333,255,255,255
50,1688.889,255,255,255
51,177.778,255,255,255
52,6088.889,255,255,255
53,2311.111,255,255,255
54,2488.889,255,255,255
55,20311.111,255,255,255
56,177.778,255,255,255
57,2044.444,255,255,255
58,400.000,255,255,255
59,2044.444,255,255,255
60,5955.556,255,255,255
61,1600.000,255,255,255
62,44.444,255,255,255
63,2266.667,255,255,255
64,400.000,255,255,255
65,595955.556,255,255,255
66,888.889,255,255,255
67,2311.111,255,255,255
68,1822.222,255,255,255
69,3466.667,255,255,255
70,44.444,255,255,255
71,133.333,255,255,255
72,16000.000,255,255,255
73,4177.778,255,255,255
74,44.444,255,255,255
75,14355.556,255,255,255
76,133.333,255,255,255
77,19822.222,255,255,255
78,88133.333,255,255,255
79,2444.444,255,255,255
80,4044.444,255,255,255
81,9333.333,255,255,255
82,577.778,255,255,255
83,1911.111,255,255,255
84,8666.667,255,255,255
85,666.667,255,255,255
86,10533.333,255,255,255
87,44.444,255,255,255
88,13288.889,255,255,255
89,400.000,255,255,255
90,444.444,255,255,255
91,27555.556,255,255,255
92,1155.556,255,255,255
93,9555.556,255,255,255
94,1511.111,255,255,255
95,177.778,255,255,255
96,88.889,255,255,255
97,888.889,255,255,255
98,88.889,255,255,255
99,15333.333,255,255,255
100,177.778,255,255,255
101,6400.000,255,255,255
102,88.889,255,255,255
103,1333.333,255,255,255
104,22533.333,255,255,255
105,5466.667,255,255,255
106,2400.000,255,255,255
107,444.444,255,255,255
108,1155.556,255,255,255
109,3911.111,255,255,255
110,16533.333,255,255,255
111,3066.667,255,255,255
112,400.000,255,255,255
113,711.111,255,255,255
114,4577.778,255,255,255
115,8400.000,255,255,255
116,177.778,255,255,255
117,800.000,255,255,255
118,266.667,255,255,255
119,622.222,255,255,255
120,3866.667,255,255,255
121,6444.444,255,255,255
122,44.444,255,255,255
123,444.444,255,255,255
124,222.222,255,255,255
125,222.222,255,255,255
126,844.444,255,255,255
127,2977.778,255,255,255
128,21955.556,255,255,255
129,18577.778,255,255,255
130,44.444,255,255,255
131,222.222,255,255,255
132,6133.333,255,255,255
133,577.778,255,255,255
134,4266.667,255,255,255
135,266.667,255,255,255
136,60666.667,255,255,255
137,163733.333,255,255,255
138,3288.889,255,255,255
139,1244.444,255,255,255
140,10177.778,255,255,255
141,3733.333,255,255,255
142,5822.222,255,255,255
143,9955.556,255,255,255
144,5688.889,255,255,255
145,1111.111,255,255,255
146,43688.889,255,255,255
147,355.556,255,255,255
148,10800.000,255,255,255
149,1511.111,255,255,255
150,44.444,255,255,255
151,222.222,255,255,255
152,266.667,255,255,255
153,9111.111,255,255,255
154,355.556,255,255,255
155,4888.889,255,255,255
156,355.556,255,255,255
157,1155.556,255,255,255
158,44.444,255,255,255
159,15688.889,255,255,255
160,2533.333,255,255,255
161,4355.556,255,255,255
162,44.444,255,255,255
163,311.111,255,255,255
164,2666.667,255,255,255
165,1688.889,255,255,255
166,222.222,255,255,255
167,44.444,255,255,255
168,1288.889,255,255,255
169,888.889,255,255,255
170,2266.667,255,255,255
171,40577.778,255,255,255
172,11333.333,255,255,255
173,4577.778,255,255,255
174,577.778,255,255,255
175,42533.333,255,255,255
176,488.889,255,255,255
177,7155.556,255,255,255
178,88.889,255,255,255
179,177.778,255,255,255
180,622.222,255,255,255
181,88.889,255,255,255
182,44.444,255,255,255
183,311.111,255,255,255
184,88.889,255,255,255
185,1022.222,255,255,255
186,4755.556,255,255,255
187,9466.667,255,255,255
188,44.444,255,255,255
