 ,Area,Mean,Min,Max
1,1200,255,255,255
2,2350,255,255,255
3,175,255,255,255
4,475,255,255,255
5,1875,255,255,255
6,2200,255,255,255
7,4225,255,255,255
8,525,255,255,255
9,3725,255,255,255
10,4925,255,255,255
11,3150,255,255,255
12,500,255,255,255
13,2550,255,255,255
14,650,255,255,255
15,2450,255,255,255
16,3525,255,255,255
17,2775,255,255,255
18,2375,255,255,255
19,67800,255,255,255
20,250,255,255,255
21,1150,255,255,255
22,44150,255,255,255
23,1025,255,255,255
24,5025,255,255,255
25,19525,255,255,255
26,6850,255,255,255
27,10450,255,255,255
28,3850,255,255,255
29,200,255,255,255
30,1000,255,255,255
31,3450,255,255,255
32,8525,255,255,255
33,2950,255,255,255
34,411625,255,255,255
35,2600,255,255,255
36,3500,255,255,255
37,3075,255,255,255
38,25,255,255,255
39,50,255,255,255
40,2150,255,255,255
41,466375,255,255,255
42,4100,255,255,255
43,5200,255,255,255
44,2900,255,255,255
45,4125,255,255,255
46,3125,255,255,255
47,2900,255,255,255
48,4250,255,255,255
49,1150,255,255,255
50,1000,255,255,255
51,5375,255,255,255
52,50,255,255,255
53,25,255,255,255
54,3525,255,255,255
55,4750,255,255,255
56,1575,255,255,255
57,26650,255,255,255
58,2100,255,255,255
59,150,255,255,255
60,200,255,255,255
61,175,255,255,255
62,3825,255,255,255
63,375,255,255,255
64,650,255,255,255
65,5450,255,255,255
66,3700,255,255,255
67,200,255,255,255
68,675,255,255,255
69,3450,255,255,255
70,1750,255,255,255
71,3475,255,255,255
72,25000,255,255,255
73,10550,255,255,255
74,7350,255,255,255
75,2400,255,255,255
76,475,255,255,255
77,100,255,255,255
78,3675,255,255,255
79,2900,255,255,255
80,4525,255,255,255
81,4250,255,255,255
82,4100,255,255,255
83,9625,255,255,255
84,100,255,255,255
85,200,255,255,255
86,100,255,255,255
87,375,255,255,255
88,6225,255,255,255
89,2450,255,255,255
90,4925,255,255,255
91,2575,255,255,255
92,39875,255,255,255
93,5875,255,255,255
94,3500,255,255,255
95,175,255,255,255
96,2025,255,255,255
97,8225,255,255,255
98,75,255,255,255
99,7000,255,255,255
100,125,255,255,255
101,17975,255,255,255
102,2725,255,255,255
103,375,255,255,255
104,475,255,255,255
105,10150,255,255,255
106,2725,255,255,255
107,175,255,255,255
108,100,255,255,255
109,100,255,255,255
110,75,255,255,255
111,5775,255,255,255
112,745275,255,255,255
113,3750,255,255,255
114,4550,255,255,255
115,100,255,255,255
116,1475,255,255,255
117,1350,255,255,255
118,4050,255,255,255
119,100,255,255,255
120,57200,255,255,255
121,250,255,255,255
122,275,255,255,255
123,425,255,255,255
124,4200,255,255,255
125,2225,255,255,255
126,25,255,255,255
127,5825,255,255,255
128,2275,255,255,255
129,1025,255,255,255
130,250,255,255,255
131,1875,255,255,255
132,3825,255,255,255
133,1025,255,255,255
134,350,255,255,255
135,47800,255,255,255
136,3100,255,255,255
137,2450,255,255,255
138,100,255,255,255
139,3600,255,255,255
